RegionID,RegionName,City,State,Metro,CountyName,SizeRank,Sales
1996-04-01,61625,10011,New York,NY,New York,New York,21,3676700.0
1996-05-01,61625,10011,New York,NY,New York,New York,21,3704200.0
1996-06-01,61625,10011,New York,NY,New York,New York,21,3729600.0
1996-07-01,61625,10011,New York,NY,New York,New York,21,3754600.0
1996-08-01,61625,10011,New York,NY,New York,New York,21,3781800.0
1996-09-01,61625,10011,New York,NY,New York,New York,21,3813500.0
1996-10-01,61625,10011,New York,NY,New York,New York,21,3849600.0
1996-11-01,61625,10011,New York,NY,New York,New York,21,3888900.0
1996-12-01,61625,10011,New York,NY,New York,New York,21,3928800.0
1997-01-01,61625,10011,New York,NY,New York,New York,21,3964600.0
1997-02-01,61625,10011,New York,NY,New York,New York,21,3995600.0
1997-03-01,61625,10011,New York,NY,New York,New York,21,4023800.0
1997-04-01,61625,10011,New York,NY,New York,New York,21,4048300.0
1997-05-01,61625,10011,New York,NY,New York,New York,21,4066900.0
1997-06-01,61625,10011,New York,NY,New York,New York,21,4080400.0
1997-07-01,61625,10011,New York,NY,New York,New York,21,4090800.0
1997-08-01,61625,10011,New York,NY,New York,New York,21,4101500.0
1997-09-01,61625,10011,New York,NY,New York,New York,21,4115200.0
1997-10-01,61625,10011,New York,NY,New York,New York,21,4131900.0
1997-11-01,61625,10011,New York,NY,New York,New York,21,4150200.0
1997-12-01,61625,10011,New York,NY,New York,New York,21,4165900.0
1998-01-01,61625,10011,New York,NY,New York,New York,21,4175400.0
1998-02-01,61625,10011,New York,NY,New York,New York,21,4177500.0
1998-03-01,61625,10011,New York,NY,New York,New York,21,4173400.0
1998-04-01,61625,10011,New York,NY,New York,New York,21,4161200.0
1998-05-01,61625,10011,New York,NY,New York,New York,21,4140100.0
1998-06-01,61625,10011,New York,NY,New York,New York,21,4110200.0
1998-07-01,61625,10011,New York,NY,New York,New York,21,4073600.0
1998-08-01,61625,10011,New York,NY,New York,New York,21,4034600.0
1998-09-01,61625,10011,New York,NY,New York,New York,21,3996400.0
1998-10-01,61625,10011,New York,NY,New York,New York,21,3959100.0
1998-11-01,61625,10011,New York,NY,New York,New York,21,3920900.0
1998-12-01,61625,10011,New York,NY,New York,New York,21,3877800.0
1999-01-01,61625,10011,New York,NY,New York,New York,21,3829500.0
1999-02-01,61625,10011,New York,NY,New York,New York,21,3775800.0
1999-03-01,61625,10011,New York,NY,New York,New York,21,3716400.0
1999-04-01,61625,10011,New York,NY,New York,New York,21,3649600.0
