RegionID,RegionName,City,State,Metro,CountyName,SizeRank,Sales
1996-04-01,61628,10014,New York,NY,New York,New York,509,164600.0
1996-05-01,61628,10014,New York,NY,New York,New York,509,165300.0
1996-06-01,61628,10014,New York,NY,New York,New York,509,165900.0
1996-07-01,61628,10014,New York,NY,New York,New York,509,166700.0
1996-08-01,61628,10014,New York,NY,New York,New York,509,167400.0
1996-09-01,61628,10014,New York,NY,New York,New York,509,168300.0
1996-10-01,61628,10014,New York,NY,New York,New York,509,169200.0
1996-11-01,61628,10014,New York,NY,New York,New York,509,170300.0
1996-12-01,61628,10014,New York,NY,New York,New York,509,171700.0
1997-01-01,61628,10014,New York,NY,New York,New York,509,173000.0
1997-02-01,61628,10014,New York,NY,New York,New York,509,173800.0
1997-03-01,61628,10014,New York,NY,New York,New York,509,174400.0
1997-04-01,61628,10014,New York,NY,New York,New York,509,175100.0
1997-05-01,61628,10014,New York,NY,New York,New York,509,176000.0
1997-06-01,61628,10014,New York,NY,New York,New York,509,177100.0
1997-07-01,61628,10014,New York,NY,New York,New York,509,178100.0
1997-08-01,61628,10014,New York,NY,New York,New York,509,179300.0
1997-09-01,61628,10014,New York,NY,New York,New York,509,180500.0
1997-10-01,61628,10014,New York,NY,New York,New York,509,181800.0
1997-11-01,61628,10014,New York,NY,New York,New York,509,183500.0
1997-12-01,61628,10014,New York,NY,New York,New York,509,185300.0
1998-01-01,61628,10014,New York,NY,New York,New York,509,186800.0
1998-02-01,61628,10014,New York,NY,New York,New York,509,187900.0
1998-03-01,61628,10014,New York,NY,New York,New York,509,188600.0
1998-04-01,61628,10014,New York,NY,New York,New York,509,189500.0
1998-05-01,61628,10014,New York,NY,New York,New York,509,190600.0
1998-06-01,61628,10014,New York,NY,New York,New York,509,191600.0
1998-07-01,61628,10014,New York,NY,New York,New York,509,192700.0
1998-08-01,61628,10014,New York,NY,New York,New York,509,193900.0
1998-09-01,61628,10014,New York,NY,New York,New York,509,195100.0
1998-10-01,61628,10014,New York,NY,New York,New York,509,196400.0
1998-11-01,61628,10014,New York,NY,New York,New York,509,198100.0
1998-12-01,61628,10014,New York,NY,New York,New York,509,200100.0
1999-01-01,61628,10014,New York,NY,New York,New York,509,201700.0
1999-02-01,61628,10014,New York,NY,New York,New York,509,202900.0
1999-03-01,61628,10014,New York,NY,New York,New York,509,203800.0
1999-04-01,61628,10014,New York,NY,New York,New York,509,205000.0
1999-05-01,61628,10014,New York,NY,New York,New York,509,206400.0
1999-06-01,61628,10014,New York,NY,New York,New York,509,208100.0
1999-07-01,61628,10014,New York,NY,New York,New York,509,210000.0
1999-08-01,61628,10014,New York,NY,New York,New York,509,211900.0
1999-09-01,61628,10014,New York,NY,New York,New York,509,214200.0
1999-10-01,61628,10014,New York,NY,New York,New York,509,216700.0
1999-11-01,61628,10014,New York,NY,New York,New York,509,219700.0
1999-12-01,61628,10014,New York,NY,New York,New York,509,223000.0
2000-01-01,61628,10014,New York,NY,New York,New York,509,226100.0
2000-02-01,61628,10014,New York,NY,New York,New York,509,228600.0
2000-03-01,61628,10014,New York,NY,New York,New York,509,230900.0
2000-04-01,61628,10014,New York,NY,New York,New York,509,233400.0
2000-05-01,61628,10014,New York,NY,New York,New York,509,236100.0
2000-06-01,61628,10014,New York,NY,New York,New York,509,239000.0
2000-07-01,61628,10014,New York,NY,New York,New York,509,241900.0
2000-08-01,61628,10014,New York,NY,New York,New York,509,244900.0
2000-09-01,61628,10014,New York,NY,New York,New York,509,247900.0
2000-10-01,61628,10014,New York,NY,New York,New York,509,251000.0
2000-11-01,61628,10014,New York,NY,New York,New York,509,254600.0
2000-12-01,61628,10014,New York,NY,New York,New York,509,258300.0
2001-01-01,61628,10014,New York,NY,New York,New York,509,261400.0
2001-02-01,61628,10014,New York,NY,New York,New York,509,263600.0
2001-03-01,61628,10014,New York,NY,New York,New York,509,265400.0
2001-04-01,61628,10014,New York,NY,New York,New York,509,267200.0
2001-05-01,61628,10014,New York,NY,New York,New York,509,269100.0
2001-06-01,61628,10014,New York,NY,New York,New York,509,271200.0
2001-07-01,61628,10014,New York,NY,New York,New York,509,273100.0
2001-08-01,61628,10014,New York,NY,New York,New York,509,275000.0
2001-09-01,61628,10014,New York,NY,New York,New York,509,276900.0
2001-10-01,61628,10014,New York,NY,New York,New York,509,279000.0
2001-11-01,61628,10014,New York,NY,New York,New York,509,281600.0
2001-12-01,61628,10014,New York,NY,New York,New York,509,284300.0
2002-01-01,61628,10014,New York,NY,New York,New York,509,286200.0
2002-02-01,61628,10014,New York,NY,New York,New York,509,287200.0
2002-03-01,61628,10014,New York,NY,New York,New York,509,287700.0
2002-04-01,61628,10014,New York,NY,New York,New York,509,288500.0
2002-05-01,61628,10014,New York,NY,New York,New York,509,289600.0
2002-06-01,61628,10014,New York,NY,New York,New York,509,291000.0
2002-07-01,61628,10014,New York,NY,New York,New York,509,292500.0
2002-08-01,61628,10014,New York,NY,New York,New York,509,294100.0
2002-09-01,61628,10014,New York,NY,New York,New York,509,296000.0
2002-10-01,61628,10014,New York,NY,New York,New York,509,298700.0
