RegionID,RegionName,City,State,Metro,CountyName,SizeRank,Sales
1996-04-01,62009,11106,New York,NY,New York,New York,1066,164600.0
1996-05-01,62009,11106,New York,NY,New York,New York,1066,165300.0
1996-06-01,62009,11106,New York,NY,New York,New York,1066,165900.0
1996-07-01,62009,11106,New York,NY,New York,New York,1066,166700.0
1996-08-01,62009,11106,New York,NY,New York,New York,1066,167400.0
1996-09-01,62009,11106,New York,NY,New York,New York,1066,168300.0
1996-10-01,62009,11106,New York,NY,New York,New York,1066,169200.0
1996-11-01,62009,11106,New York,NY,New York,New York,1066,170300.0
1996-12-01,62009,11106,New York,NY,New York,New York,1066,171700.0
1997-01-01,62009,11106,New York,NY,New York,New York,1066,173000.0
1997-02-01,62009,11106,New York,NY,New York,New York,1066,173800.0
1997-03-01,62009,11106,New York,NY,New York,New York,1066,174400.0
1997-04-01,62009,11106,New York,NY,New York,New York,1066,175100.0
1997-05-01,62009,11106,New York,NY,New York,New York,1066,176000.0
1997-06-01,62009,11106,New York,NY,New York,New York,1066,177100.0
1997-07-01,62009,11106,New York,NY,New York,New York,1066,178100.0
1997-08-01,62009,11106,New York,NY,New York,New York,1066,179300.0
1997-09-01,62009,11106,New York,NY,New York,New York,1066,180500.0
1997-10-01,62009,11106,New York,NY,New York,New York,1066,181800.0
1997-11-01,62009,11106,New York,NY,New York,New York,1066,183500.0
1997-12-01,62009,11106,New York,NY,New York,New York,1066,185300.0
1998-01-01,62009,11106,New York,NY,New York,New York,1066,186800.0
1998-02-01,62009,11106,New York,NY,New York,New York,1066,187900.0
1998-03-01,62009,11106,New York,NY,New York,New York,1066,188600.0
1998-04-01,62009,11106,New York,NY,New York,New York,1066,189500.0
1998-05-01,62009,11106,New York,NY,New York,New York,1066,190600.0
1998-06-01,62009,11106,New York,NY,New York,New York,1066,191600.0
1998-07-01,62009,11106,New York,NY,New York,New York,1066,192700.0
1998-08-01,62009,11106,New York,NY,New York,New York,1066,193900.0
1998-09-01,62009,11106,New York,NY,New York,New York,1066,195100.0
1998-10-01,62009,11106,New York,NY,New York,New York,1066,196400.0
1998-11-01,62009,11106,New York,NY,New York,New York,1066,198100.0
1998-12-01,62009,11106,New York,NY,New York,New York,1066,200100.0
1999-01-01,62009,11106,New York,NY,New York,New York,1066,201700.0
1999-02-01,62009,11106,New York,NY,New York,New York,1066,202900.0
1999-03-01,62009,11106,New York,NY,New York,New York,1066,203800.0
1999-04-01,62009,11106,New York,NY,New York,New York,1066,205000.0
1999-05-01,62009,11106,New York,NY,New York,New York,1066,206400.0
1999-06-01,62009,11106,New York,NY,New York,New York,1066,208100.0
1999-07-01,62009,11106,New York,NY,New York,New York,1066,210000.0
1999-08-01,62009,11106,New York,NY,New York,New York,1066,211900.0
1999-09-01,62009,11106,New York,NY,New York,New York,1066,214200.0
1999-10-01,62009,11106,New York,NY,New York,New York,1066,216700.0
1999-11-01,62009,11106,New York,NY,New York,New York,1066,219700.0
