RegionID,RegionName,City,State,Metro,CountyName,SizeRank,Sales
1996-04-01,61703,10128,New York,NY,New York,New York,22,3676700.0
1996-05-01,61703,10128,New York,NY,New York,New York,22,3704200.0
1996-06-01,61703,10128,New York,NY,New York,New York,22,3729600.0
1996-07-01,61703,10128,New York,NY,New York,New York,22,3754600.0
1996-08-01,61703,10128,New York,NY,New York,New York,22,3781800.0
1996-09-01,61703,10128,New York,NY,New York,New York,22,3813500.0
1996-10-01,61703,10128,New York,NY,New York,New York,22,3849600.0
1996-11-01,61703,10128,New York,NY,New York,New York,22,3888900.0
1996-12-01,61703,10128,New York,NY,New York,New York,22,3928800.0
1997-01-01,61703,10128,New York,NY,New York,New York,22,3964600.0
1997-02-01,61703,10128,New York,NY,New York,New York,22,3995600.0
1997-03-01,61703,10128,New York,NY,New York,New York,22,4023800.0
1997-04-01,61703,10128,New York,NY,New York,New York,22,4048300.0
1997-05-01,61703,10128,New York,NY,New York,New York,22,4066900.0
1997-06-01,61703,10128,New York,NY,New York,New York,22,4080400.0
1997-07-01,61703,10128,New York,NY,New York,New York,22,4090800.0
1997-08-01,61703,10128,New York,NY,New York,New York,22,4101500.0
1997-09-01,61703,10128,New York,NY,New York,New York,22,4115200.0
1997-10-01,61703,10128,New York,NY,New York,New York,22,4131900.0
1997-11-01,61703,10128,New York,NY,New York,New York,22,4150200.0
1997-12-01,61703,10128,New York,NY,New York,New York,22,4165900.0
1998-01-01,61703,10128,New York,NY,New York,New York,22,4175400.0
1998-02-01,61703,10128,New York,NY,New York,New York,22,4177500.0
1998-03-01,61703,10128,New York,NY,New York,New York,22,4173400.0
1998-04-01,61703,10128,New York,NY,New York,New York,22,4161200.0
1998-05-01,61703,10128,New York,NY,New York,New York,22,4140100.0
1998-06-01,61703,10128,New York,NY,New York,New York,22,4110200.0
1998-07-01,61703,10128,New York,NY,New York,New York,22,4073600.0
1998-08-01,61703,10128,New York,NY,New York,New York,22,4034600.0
1998-09-01,61703,10128,New York,NY,New York,New York,22,3996400.0
1998-10-01,61703,10128,New York,NY,New York,New York,22,3959100.0
1998-11-01,61703,10128,New York,NY,New York,New York,22,3920900.0
