RegionID,RegionName,City,State,Metro,CountyName,SizeRank,Sales
1996-04-01,62041,11231,New York,NY,New York,New York,1996,3704200.0
1996-05-01,62041,11231,New York,NY,New York,New York,1996,3729600.0
1996-06-01,62041,11231,New York,NY,New York,New York,1996,3754600.0
1996-07-01,62041,11231,New York,NY,New York,New York,1996,3781800.0
1996-08-01,62041,11231,New York,NY,New York,New York,1996,3813500.0
1996-09-01,62041,11231,New York,NY,New York,New York,1996,3849600.0
1996-10-01,62041,11231,New York,NY,New York,New York,1996,3888900.0
1996-11-01,62041,11231,New York,NY,New York,New York,1996,3928800.0
1996-12-01,62041,11231,New York,NY,New York,New York,1996,3964600.0
1997-01-01,62041,11231,New York,NY,New York,New York,1996,3995600.0
1997-02-01,62041,11231,New York,NY,New York,New York,1996,4023800.0
1997-03-01,62041,11231,New York,NY,New York,New York,1996,4048300.0
1997-04-01,62041,11231,New York,NY,New York,New York,1996,4066900.0
1997-05-01,62041,11231,New York,NY,New York,New York,1996,4080400.0
1997-06-01,62041,11231,New York,NY,New York,New York,1996,4090800.0
1997-07-01,62041,11231,New York,NY,New York,New York,1996,4101500.0
1997-08-01,62041,11231,New York,NY,New York,New York,1996,4115200.0
1997-09-01,62041,11231,New York,NY,New York,New York,1996,4131900.0
1997-10-01,62041,11231,New York,NY,New York,New York,1996,4150200.0
1997-11-01,62041,11231,New York,NY,New York,New York,1996,4165900.0
1997-12-01,62041,11231,New York,NY,New York,New York,1996,4175400.0
1998-01-01,62041,11231,New York,NY,New York,New York,1996,4177500.0
1998-02-01,62041,11231,New York,NY,New York,New York,1996,4173400.0
1998-03-01,62041,11231,New York,NY,New York,New York,1996,4161200.0
1998-04-01,62041,11231,New York,NY,New York,New York,1996,4140100.0
1998-05-01,62041,11231,New York,NY,New York,New York,1996,4110200.0
1998-06-01,62041,11231,New York,NY,New York,New York,1996,4073600.0
1998-07-01,62041,11231,New York,NY,New York,New York,1996,4034600.0
1998-08-01,62041,11231,New York,NY,New York,New York,1996,3996400.0
1998-09-01,62041,11231,New York,NY,New York,New York,1996,3959100.0
1998-10-01,62041,11231,New York,NY,New York,New York,1996,3920900.0
1998-11-01,62041,11231,New York,NY,New York,New York,1996,3877800.0
1998-12-01,62041,11231,New York,NY,New York,New York,1996,3829500.0
1999-01-01,62041,11231,New York,NY,New York,New York,1996,3775800.0
1999-02-01,62041,11231,New York,NY,New York,New York,1996,3716400.0
1999-03-01,62041,11231,New York,NY,New York,New York,1996,3649600.0
1999-04-01,62041,11231,New York,NY,New York,New York,1996,3578000.0
1999-05-01,62041,11231,New York,NY,New York,New York,1996,3502200.0
1999-06-01,62041,11231,New York,NY,New York,New York,1996,3425400.0
1999-07-01,62041,11231,New York,NY,New York,New York,1996,3352700.0
1999-08-01,62041,11231,New York,NY,New York,New York,1996,3288700.0
1999-09-01,62041,11231,New York,NY,New York,New York,1996,3233300.0
1999-10-01,62041,11231,New York,NY,New York,New York,1996,3185300.0
1999-11-01,62041,11231,New York,NY,New York,New York,1996,3141500.0
1999-12-01,62041,11231,New York,NY,New York,New York,1996,3100500.0
2000-01-01,62041,11231,New York,NY,New York,New York,1996,3062900.0
2000-02-01,62041,11231,New York,NY,New York,New York,1996,3028800.0
2000-03-01,62041,11231,New York,NY,New York,New York,1996,2996900.0
2000-04-01,62041,11231,New York,NY,New York,New York,1996,2967600.0
2000-05-01,62041,11231,New York,NY,New York,New York,1996,2941000.0
2000-06-01,62041,11231,New York,NY,New York,New York,1996,2919300.0
2000-07-01,62041,11231,New York,NY,New York,New York,1996,2906000.0
2000-08-01,62041,11231,New York,NY,New York,New York,1996,2903800.0
2000-09-01,62041,11231,New York,NY,New York,New York,1996,2912100.0
2000-10-01,62041,11231,New York,NY,New York,New York,1996,2929100.0
2000-11-01,62041,11231,New York,NY,New York,New York,1996,2952600.0
2000-12-01,62041,11231,New York,NY,New York,New York,1996,2978500.0
2001-01-01,62041,11231,New York,NY,New York,New York,1996,3004800.0
2001-02-01,62041,11231,New York,NY,New York,New York,1996,3031600.0
2001-03-01,62041,11231,New York,NY,New York,New York,1996,3058600.0
2001-04-01,62041,11231,New York,NY,New York,New York,1996,3083700.0
2001-05-01,62041,11231,New York,NY,New York,New York,1996,3106900.0
2001-06-01,62041,11231,New York,NY,New York,New York,1996,3130800.0
2001-07-01,62041,11231,New York,NY,New York,New York,1996,3159700.0
2001-08-01,62041,11231,New York,NY,New York,New York,1996,3196900.0
2001-09-01,62041,11231,New York,NY,New York,New York,1996,3241800.0
2001-10-01,62041,11231,New York,NY,New York,New York,1996,3292800.0
2001-11-01,62041,11231,New York,NY,New York,New York,1996,3345700.0
2001-12-01,62041,11231,New York,NY,New York,New York,1996,3395200.0
2002-01-01,62041,11231,New York,NY,New York,New York,1996,3439200.0
2002-02-01,62041,11231,New York,NY,New York,New York,1996,3479100.0
2002-03-01,62041,11231,New York,NY,New York,New York,1996,3513900.0
2002-04-01,62041,11231,New York,NY,New York,New York,1996,3541900.0
2002-05-01,62041,11231,New York,NY,New York,New York,1996,3563800.0
2002-06-01,62041,11231,New York,NY,New York,New York,1996,3583700.0
2002-07-01,62041,11231,New York,NY,New York,New York,1996,3609100.0
2002-08-01,62041,11231,New York,NY,New York,New York,1996,3644400.0
2002-09-01,62041,11231,New York,NY,New York,New York,1996,3690500.0
2002-10-01,62041,11231,New York,NY,New York,New York,1996,3739500.0
2002-11-01,62041,11231,New York,NY,New York,New York,1996,3786700.0
2002-12-01,62041,11231,New York,NY,New York,New York,1996,3831500.0
2003-01-01,62041,11231,New York,NY,New York,New York,1996,3872600.0
2003-02-01,62041,11231,New York,NY,New York,New York,1996,3909600.0
2003-03-01,62041,11231,New York,NY,New York,New York,1996,3953800.0
2003-04-01,62041,11231,New York,NY,New York,New York,1996,4013300.0
2003-05-01,62041,11231,New York,NY,New York,New York,1996,4086400.0
2003-06-01,62041,11231,New York,NY,New York,New York,1996,4160600.0
2003-07-01,62041,11231,New York,NY,New York,New York,1996,4210000.0
2003-08-01,62041,11231,New York,NY,New York,New York,1996,4210500.0
2003-09-01,62041,11231,New York,NY,New York,New York,1996,4165800.0
2003-10-01,62041,11231,New York,NY,New York,New York,1996,4090200.0
2003-11-01,62041,11231,New York,NY,New York,New York,1996,3986700.0
2003-12-01,62041,11231,New York,NY,New York,New York,1996,3865500.0
2004-01-01,62041,11231,New York,NY,New York,New York,1996,969500.0
2004-02-01,62041,11231,New York,NY,New York,New York,1996,940900.0
2004-03-01,62041,11231,New York,NY,New York,New York,1996,912300.0
2004-04-01,62041,11231,New York,NY,New York,New York,1996,887300.0
2004-05-01,62041,11231,New York,NY,New York,New York,1996,869900.0
2004-06-01,62041,11231,New York,NY,New York,New York,1996,862700.0
2004-07-01,62041,11231,New York,NY,New York,New York,1996,867700.0
2004-08-01,62041,11231,New York,NY,New York,New York,1996,884600.0
2004-09-01,62041,11231,New York,NY,New York,New York,1996,911100.0
2004-10-01,62041,11231,New York,NY,New York,New York,1996,943300.0
2004-11-01,62041,11231,New York,NY,New York,New York,1996,979600.0
2004-12-01,62041,11231,New York,NY,New York,New York,1996,1016900.0
2005-01-01,62041,11231,New York,NY,New York,New York,1996,1050700.0
2005-02-01,62041,11231,New York,NY,New York,New York,1996,1080900.0
2005-03-01,62041,11231,New York,NY,New York,New York,1996,1109000.0
2005-04-01,62041,11231,New York,NY,New York,New York,1996,1132100.0
2005-05-01,62041,11231,New York,NY,New York,New York,1996,1148200.0
2005-06-01,62041,11231,New York,NY,New York,New York,1996,1160200.0
2005-07-01,62041,11231,New York,NY,New York,New York,1996,1170900.0
2005-08-01,62041,11231,New York,NY,New York,New York,1996,1182700.0
2005-09-01,62041,11231,New York,NY,New York,New York,1996,1196200.0
2005-10-01,62041,11231,New York,NY,New York,New York,1996,1209600.0
2005-11-01,62041,11231,New York,NY,New York,New York,1996,1223500.0
2005-12-01,62041,11231,New York,NY,New York,New York,1996,1236900.0
2006-01-01,62041,11231,New York,NY,New York,New York,1996,1247200.0
2006-02-01,62041,11231,New York,NY,New York,New York,1996,1255800.0
2006-03-01,62041,11231,New York,NY,New York,New York,1996,1266000.0
2006-04-01,62041,11231,New York,NY,New York,New York,1996,1277100.0
2006-05-01,62041,11231,New York,NY,New York,New York,1996,1287600.0
2006-06-01,62041,11231,New York,NY,New York,New York,1996,1297700.0
2006-07-01,62041,11231,New York,NY,New York,New York,1996,1307900.0
2006-08-01,62041,11231,New York,NY,New York,New York,1996,1319800.0
2006-09-01,62041,11231,New York,NY,New York,New York,1996,1333100.0
2006-10-01,62041,11231,New York,NY,New York,New York,1996,1345100.0
2006-11-01,62041,11231,New York,NY,New York,New York,1996,1357000.0
2006-12-01,62041,11231,New York,NY,New York,New York,1996,1371600.0
2007-01-01,62041,11231,New York,NY,New York,New York,1996,1387600.0
2007-02-01,62041,11231,New York,NY,New York,New York,1996,1406900.0
2007-03-01,62041,11231,New York,NY,New York,New York,1996,1430100.0
2007-04-01,62041,11231,New York,NY,New York,New York,1996,1451100.0
2007-05-01,62041,11231,New York,NY,New York,New York,1996,1463900.0
2007-06-01,62041,11231,New York,NY,New York,New York,1996,1468500.0
2007-07-01,62041,11231,New York,NY,New York,New York,1996,1466900.0
2007-08-01,62041,11231,New York,NY,New York,New York,1996,1463800.0
2007-09-01,62041,11231,New York,NY,New York,New York,1996,1460800.0
2007-10-01,62041,11231,New York,NY,New York,New York,1996,1455000.0
2007-11-01,62041,11231,New York,NY,New York,New York,1996,1449300.0
2007-12-01,62041,11231,New York,NY,New York,New York,1996,1449000.0
2008-01-01,62041,11231,New York,NY,New York,New York,1996,1453200.0
2008-02-01,62041,11231,New York,NY,New York,New York,1996,1462600.0
2008-03-01,62041,11231,New York,NY,New York,New York,1996,1473500.0
2008-04-01,62041,11231,New York,NY,New York,New York,1996,1476700.0
2008-05-01,62041,11231,New York,NY,New York,New York,1996,1468700.0
2008-06-01,62041,11231,New York,NY,New York,New York,1996,1452800.0
2008-07-01,62041,11231,New York,NY,New York,New York,1996,1432700.0
2008-08-01,62041,11231,New York,NY,New York,New York,1996,1415800.0
2008-09-01,62041,11231,New York,NY,New York,New York,1996,1403400.0
2008-10-01,62041,11231,New York,NY,New York,New York,1996,1388600.0
2008-11-01,62041,11231,New York,NY,New York,New York,1996,1370300.0
2008-12-01,62041,11231,New York,NY,New York,New York,1996,1351400.0
2009-01-01,62041,11231,New York,NY,New York,New York,1996,1332300.0
2009-02-01,62041,11231,New York,NY,New York,New York,1996,1315900.0
2009-03-01,62041,11231,New York,NY,New York,New York,1996,1303000.0
2009-04-01,62041,11231,New York,NY,New York,New York,1996,1288900.0
2009-05-01,62041,11231,New York,NY,New York,New York,1996,1270400.0
2009-06-01,62041,11231,New York,NY,New York,New York,1996,1251800.0
2009-07-01,62041,11231,New York,NY,New York,New York,1996,1239800.0
2009-08-01,62041,11231,New York,NY,New York,New York,1996,1238800.0
2009-09-01,62041,11231,New York,NY,New York,New York,1996,1245400.0
2009-10-01,62041,11231,New York,NY,New York,New York,1996,1252000.0
2009-11-01,62041,11231,New York,NY,New York,New York,1996,1255000.0
2009-12-01,62041,11231,New York,NY,New York,New York,1996,1266300.0
2010-01-01,62041,11231,New York,NY,New York,New York,1996,1295800.0
2010-02-01,62041,11231,New York,NY,New York,New York,1996,1301900.0
2010-03-01,62041,11231,New York,NY,New York,New York,1996,1289300.0
2010-04-01,62041,11231,New York,NY,New York,New York,1996,1291600.0
2010-05-01,62041,11231,New York,NY,New York,New York,1996,1317400.0
2010-06-01,62041,11231,New York,NY,New York,New York,1996,1340200.0
2010-07-01,62041,11231,New York,NY,New York,New York,1996,1358000.0
2010-08-01,62041,11231,New York,NY,New York,New York,1996,1347300.0
2010-09-01,62041,11231,New York,NY,New York,New York,1996,1317600.0
2010-10-01,62041,11231,New York,NY,New York,New York,1996,1313700.0
2010-11-01,62041,11231,New York,NY,New York,New York,1996,1346900.0
2010-12-01,62041,11231,New York,NY,New York,New York,1996,1379000.0
2011-01-01,62041,11231,New York,NY,New York,New York,1996,1394100.0
2011-02-01,62041,11231,New York,NY,New York,New York,1996,1414800.0
2011-03-01,62041,11231,New York,NY,New York,New York,1996,1433000.0
2011-04-01,62041,11231,New York,NY,New York,New York,1996,1441600.0
2011-05-01,62041,11231,New York,NY,New York,New York,1996,1441900.0
2011-06-01,62041,11231,New York,NY,New York,New York,1996,1450200.0
2011-07-01,62041,11231,New York,NY,New York,New York,1996,1463800.0
2011-08-01,62041,11231,New York,NY,New York,New York,1996,1488600.0
2011-09-01,62041,11231,New York,NY,New York,New York,1996,1517000.0
2011-10-01,62041,11231,New York,NY,New York,New York,1996,1536600.0
2011-11-01,62041,11231,New York,NY,New York,New York,1996,1544800.0
2011-12-01,62041,11231,New York,NY,New York,New York,1996,1556000.0
2012-01-01,62041,11231,New York,NY,New York,New York,1996,1564700.0
2012-02-01,62041,11231,New York,NY,New York,New York,1996,1583200.0
2012-03-01,62041,11231,New York,NY,New York,New York,1996,1607000.0
2012-04-01,62041,11231,New York,NY,New York,New York,1996,1624100.0
2012-05-01,62041,11231,New York,NY,New York,New York,1996,1636500.0
2012-06-01,62041,11231,New York,NY,New York,New York,1996,1650200.0
2012-07-01,62041,11231,New York,NY,New York,New York,1996,1659100.0
2012-08-01,62041,11231,New York,NY,New York,New York,1996,1663400.0
2012-09-01,62041,11231,New York,NY,New York,New York,1996,1669000.0
2012-10-01,62041,11231,New York,NY,New York,New York,1996,1680700.0
2012-11-01,62041,11231,New York,NY,New York,New York,1996,1693400.0
2012-12-01,62041,11231,New York,NY,New York,New York,1996,1698400.0
2013-01-01,62041,11231,New York,NY,New York,New York,1996,1702800.0
2013-02-01,62041,11231,New York,NY,New York,New York,1996,1710600.0
2013-03-01,62041,11231,New York,NY,New York,New York,1996,1726700.0
2013-04-01,62041,11231,New York,NY,New York,New York,1996,1743900.0
2013-05-01,62041,11231,New York,NY,New York,New York,1996,1764800.0
2013-06-01,62041,11231,New York,NY,New York,New York,1996,1801400.0
2013-07-01,62041,11231,New York,NY,New York,New York,1996,1848000.0
2013-08-01,62041,11231,New York,NY,New York,New York,1996,1897400.0
2013-09-01,62041,11231,New York,NY,New York,New York,1996,1951200.0
2013-10-01,62041,11231,New York,NY,New York,New York,1996,2000900.0
2013-11-01,62041,11231,New York,NY,New York,New York,1996,2035200.0
2013-12-01,62041,11231,New York,NY,New York,New York,1996,2056600.0
2014-01-01,62041,11231,New York,NY,New York,New York,1996,2070900.0
2014-02-01,62041,11231,New York,NY,New York,New York,1996,2095800.0
2014-03-01,62041,11231,New York,NY,New York,New York,1996,2116900.0
2014-04-01,62041,11231,New York,NY,New York,New York,1996,2123600.0
2014-05-01,62041,11231,New York,NY,New York,New York,1996,2138300.0
2014-06-01,62041,11231,New York,NY,New York,New York,1996,2166300.0
2014-07-01,62041,11231,New York,NY,New York,New York,1996,2184600.0
2014-08-01,62041,11231,New York,NY,New York,New York,1996,2215000.0
2014-09-01,62041,11231,New York,NY,New York,New York,1996,2261600.0
2014-10-01,62041,11231,New York,NY,New York,New York,1996,2301800.0
2014-11-01,62041,11231,New York,NY,New York,New York,1996,2330000.0
2014-12-01,62041,11231,New York,NY,New York,New York,1996,2358300.0
2015-01-01,62041,11231,New York,NY,New York,New York,1996,2382100.0
2015-02-01,62041,11231,New York,NY,New York,New York,1996,2397500.0
2015-03-01,62041,11231,New York,NY,New York,New York,1996,2414300.0
2015-04-01,62041,11231,New York,NY,New York,New York,1996,2439600.0
2015-05-01,62041,11231,New York,NY,New York,New York,1996,2457700.0
2015-06-01,62041,11231,New York,NY,New York,New York,1996,2456800.0
2015-07-01,62041,11231,New York,NY,New York,New York,1996,2467500.0
2015-08-01,62041,11231,New York,NY,New York,New York,1996,2487000.0
2015-09-01,62041,11231,New York,NY,New York,New York,1996,2502600.0
2015-10-01,62041,11231,New York,NY,New York,New York,1996,2502900.0
2015-11-01,62041,11231,New York,NY,New York,New York,1996,2499600.0
2015-12-01,62041,11231,New York,NY,New York,New York,1996,2497500.0
2016-01-01,62041,11231,New York,NY,New York,New York,1996,2513500.0
2016-02-01,62041,11231,New York,NY,New York,New York,1996,2527700.0
2016-03-01,62041,11231,New York,NY,New York,New York,1996,2544600.0
2016-04-01,62041,11231,New York,NY,New York,New York,1996,2578200.0
